"iso3","year","social_protection_coverage","social_assistance_coverage_aspire","social_insurance_coverage_aspire","cash_transfer_coverage_aspire","pension_coverage_aspire","social_protection_adequacy_aspire","public_transfer_benefit_q1_aspire"
"BRA","1992","","","","","","",""
"BRA","1993","","","","","","",""
"BRA","1994","","","","","","",""
"BRA","1995","","","","","","",""
"BRA","1996","","","","","","",""
"BRA","1997","","","","","","",""
"BRA","1998","","","","","","",""
"BRA","1999","","","","","","",""
"BRA","2000","","","","","","",""
"BRA","2001","","","","","","",""
"BRA","2002","","","","","","",""
"BRA","2003","","","","","","",""
"BRA","2004","","","","","","",""
"BRA","2005","","","","","","",""
"BRA","2006","53.93266904566549","25.28841801352899","30.100939002158068","","30.100939002158068","46.66790086528764","1.502794227022598"
"BRA","2007","","","","","","",""
"BRA","2008","","","","","","",""
"BRA","2009","45.46017543282019","17.560585941440493","27.94676964141692","","27.94676964141692","40.97068238843416","2.482994553991204"
"BRA","2010","","","","","","",""
"BRA","2011","45.34388025434349","18.652143633228597","28.31044962059961","","28.31044962059961","40.60137108720076","2.6391515680339164"
"BRA","2012","46.37658170762023","19.52787680649056","28.34464751824548","","28.34464751824548","39.4731117571713","2.861736857337312"
"BRA","2013","","","","","","",""
"BRA","2014","","","","","","",""
"BRA","2015","53.80871122511761","23.71616300913106","30.53531191828905","","30.53531191828905","44.760889028108856","4.157446334023055"
"BRA","2016","50.7489056580992","23.197618002797014","29.63191263823762","","29.63191263823762","40.80303277015592","4.310282160927723"
"BRA","2017","50.48702781919558","22.122273993935583","30.272028452089305","","30.272028452089305","41.30257169844341","4.257509488044152"
"BRA","2018","50.93405409529911","22.24339319552546","30.85787855246217","","30.85787855246217","41.80322317492752","3.994161810040135"
"BRA","2019","50.53351683524416","21.999580967090637","30.50581512785591","","30.50581512785591","42.33490294208976","3.8226391184032336"
"BRA","2020","69.14613372009393","51.65264280314775","26.03270163022109","45.80862068360857","26.03270163022109","41.90626721007892","9.145070908386296"
"BRA","2021","52.55207514555197","29.710363510512583","26.583443916718878","17.86743657404347","26.583443916718878","39.81915042256409","4.669976748654254"
"BRA","2022","52.26328363751848","28.098407939830597","28.279605030663813","3.5336589456219607","28.279605030663813","41.43003879161582","6.23579678043705"
"BRA","2023","","","","","","",""
"BRA","2024","","","","","","",""
"BRA","2025","","","","","","",""
"BRB","1960","","","","","","",""
"BRB","1961","","","","","","",""
"BRB","1962","","","","","","",""
"BRB","1963","","","","","","",""
"BRB","1964","","","","","","",""
"BRB","1965","","","","","","",""
"BRB","1966","","","","","","",""
"BRB","1967","","","","","","",""
"BRB","1968","","","","","","",""
"BRB","1969","","","","","","",""
"BRB","1970","","","","","","",""
"BRB","1971","","","","","","",""
"BRB","1972","","","","","","",""
"BRB","1973","","","","","","",""
"BRB","1974","","","","","","",""
"BRB","1975","","","","","","",""
"BRB","1976","","","","","","",""
"BRB","1977","","","","","","",""
"BRB","1978","","","","","","",""
"BRB","1979","","","","","","",""
"BRB","1980","","","","","","",""
"BRB","1981","","","","","","",""
"BRB","1982","","","","","","",""
"BRB","1983","","","","","","",""
"BRB","1984","","","","","","",""
"BRB","1985","","","","","","",""
"BRB","1986","","","","","","",""
"BRB","1987","","","","","","",""
"BRB","1988","","","","","","",""
"BRB","1989","","","","","","",""
"BRB","1990","","","","","","",""
"BRB","1991","","","","","","",""
"BRB","1992","","","","","","",""
"BRB","1993","","","","","","",""
"BRB","1994","","","","","","",""
"BRB","1995","","","","","","",""
"BRB","1996","","","","","","",""
"BRB","1997","","","","","","",""
"BRB","1998","","","","","","",""
"BRB","1999","","","","","","",""
"BRB","2000","","","","","","",""
"BRB","2001","","","","","","",""
"BRB","2002","","","","","","",""
"BRB","2003","","","","","","",""
"BRB","2004","","","","","","",""
"BRB","2005","","","","","","",""
"BRB","2006","","","","","","",""
"BRB","2007","","","","","","",""
"BRB","2008","","","","","","",""
"BRB","2009","","","","","","",""
"BRB","2010","","","","","","",""
"BRB","2011","","","","","","",""
"BRB","2012","","","","","","",""
"BRB","2013","","","","","","",""
"BRB","2014","","","","","","",""
