"iso3","country","year","variable","raw_value","wdi_comparable_range","decision","poverty_current_excluded","poverty_lag1_excluded","lag_exclusion_reason"
"MEX","Mexico","2021","extreme_poverty","14.4","1.6-4.4 (nearby +/-5 years, n=5)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"MEX","Mexico","2021","monetary_poverty","24","21.4-37.8 (nearby +/-5 years, n=5)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"MEX","Mexico","2023","extreme_poverty","12","1.6-4.3 (nearby +/-5 years, n=4)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"MEX","Mexico","2023","monetary_poverty","22.2","21.4-36.5 (nearby +/-5 years, n=4)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"NIC","Nicaragua","2000","extreme_poverty","1.8","16.5-34.7 (nearby +/-5 years, n=3)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"NIC","Nicaragua","2000","monetary_poverty","1.6","65.4-77.6 (nearby +/-5 years, n=3)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"NIC","Nicaragua","2002","extreme_poverty","1.7","16.5-34.7 (nearby +/-5 years, n=3)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"NIC","Nicaragua","2002","monetary_poverty","1.5","65.4-77.6 (nearby +/-5 years, n=3)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"NIC","Nicaragua","2003","extreme_poverty","1.5","16.5-34.7 (nearby +/-5 years, n=3)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"NIC","Nicaragua","2003","monetary_poverty","1.5","65.4-77.6 (nearby +/-5 years, n=3)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"NIC","Nicaragua","2004","extreme_poverty","1.5","13.9-26.3 (nearby +/-5 years, n=3)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"NIC","Nicaragua","2004","monetary_poverty","1.5","62.1-72.3 (nearby +/-5 years, n=3)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"NIC","Nicaragua","2006","extreme_poverty","1.5","13.9-26.3 (nearby +/-5 years, n=3)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"NIC","Nicaragua","2006","monetary_poverty","1.6","62.1-72.3 (nearby +/-5 years, n=3)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"NIC","Nicaragua","2007","extreme_poverty","1.5","13.9-16.5 (nearby +/-5 years, n=2)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"NIC","Nicaragua","2007","monetary_poverty","1.6","62.1-65.4 (nearby +/-5 years, n=2)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"NIC","Nicaragua","2008","extreme_poverty","1.6","13.9-16.5 (nearby +/-5 years, n=2)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"NIC","Nicaragua","2008","monetary_poverty","1.7","62.1-65.4 (nearby +/-5 years, n=2)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"NIC","Nicaragua","2010","extreme_poverty","1.7","6.6-16.5 (nearby +/-5 years, n=3)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"NIC","Nicaragua","2010","monetary_poverty","1.7","46.5-65.4 (nearby +/-5 years, n=3)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"NIC","Nicaragua","2011","extreme_poverty","1.7","6.6-13.9 (nearby +/-5 years, n=2)","retain: Equity Lab fallback within nearby WDI range","False","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"NIC","Nicaragua","2011","monetary_poverty","1.7","46.5-62.1 (nearby +/-5 years, n=2)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"NIC","Nicaragua","2012","extreme_poverty","1.5","6.6-13.9 (nearby +/-5 years, n=2)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"NIC","Nicaragua","2012","monetary_poverty","1.7","46.5-62.1 (nearby +/-5 years, n=2)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"NIC","Nicaragua","2013","extreme_poverty","1.4","6.6-13.9 (nearby +/-5 years, n=2)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"NIC","Nicaragua","2013","monetary_poverty","1.7","46.5-62.1 (nearby +/-5 years, n=2)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"NIC","Nicaragua","2015","extreme_poverty","1.5","6.6-47.1 (all available country WDI years, n=6)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"NIC","Nicaragua","2015","monetary_poverty","1.6","46.5-82.2 (all available country WDI years, n=6)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"NIC","Nicaragua","2016","extreme_poverty","1.4","6.6-47.1 (all available country WDI years, n=6)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"NIC","Nicaragua","2016","monetary_poverty","1.6","46.5-82.2 (all available country WDI years, n=6)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"NIC","Nicaragua","2017","extreme_poverty","1.3","6.6-47.1 (all available country WDI years, n=6)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"NIC","Nicaragua","2017","monetary_poverty","1.6","46.5-82.2 (all available country WDI years, n=6)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"NIC","Nicaragua","2018","extreme_poverty","1.8","6.6-47.1 (all available country WDI years, n=6)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"NIC","Nicaragua","2018","monetary_poverty","1.7","46.5-82.2 (all available country WDI years, n=6)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"NIC","Nicaragua","2019","extreme_poverty","1.8","6.6-47.1 (all available country WDI years, n=6)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"NIC","Nicaragua","2019","monetary_poverty","1.7","46.5-82.2 (all available country WDI years, n=6)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"NIC","Nicaragua","2020","extreme_poverty","2","6.6-47.1 (all available country WDI years, n=6)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"NIC","Nicaragua","2020","monetary_poverty","1.7","46.5-82.2 (all available country WDI years, n=6)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"NIC","Nicaragua","2021","extreme_poverty","1.7","6.6-47.1 (all available country WDI years, n=6)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"NIC","Nicaragua","2021","monetary_poverty","1.6","46.5-82.2 (all available country WDI years, n=6)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"NIC","Nicaragua","2022","extreme_poverty","2.2","6.6-47.1 (all available country WDI years, n=6)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"NIC","Nicaragua","2022","monetary_poverty","1.7","46.5-82.2 (all available country WDI years, n=6)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"NIC","Nicaragua","2023","extreme_poverty","2.2","6.6-47.1 (all available country WDI years, n=6)","retain: Equity Lab fallback within nearby WDI range","False","False",""
