model,term,estimate,std.error,statistic,p.value,conf.low,conf.high,se_type
Model 3 - Country Fixed Effects,log_gdp_per_capita,-30.35651931537236,5.108014031799124,-5.942920110710876,1.7655135580911644e-8,-40.36822681769864,-20.34481181304608,Arellano HC1 country-clustered
Model 3 - Country Fixed Effects,gini,0.6896726850378233,0.2408341106201615,2.8636835673396805,0.004763948621008978,0.21763782822230676,1.1617075418533398,Arellano HC1 country-clustered
Model 3 - Country Fixed Effects,unemployment,0.42785601665274897,0.20193155445209054,2.1188170309175742,0.03568967162113057,0.032070169926651515,0.8236418633788465,Arellano HC1 country-clustered
Model 4 - Two-way Fixed Effects,labor_informality,0.08880569423128869,0.07351068807373749,1.2080650658882284,0.22907357350182705,-0.055275254393236786,0.23288664285581417,Arellano HC1 country-clustered
Model 4 - Two-way Fixed Effects,social_protection_coverage,-0.10237303114487796,0.03646162749050861,-2.807692310814345,0.005707842792753648,-0.17383782102627482,-0.030908241263481087,Arellano HC1 country-clustered
Model 4 - Two-way Fixed Effects,log_gdp_per_capita,-25.968249696013494,7.899531335728599,-3.287315233317998,0.0012809237392140008,-41.45133111404155,-10.48516827798544,Arellano HC1 country-clustered
Model 4 - Two-way Fixed Effects,gini,0.5083426641449506,0.17551962067069365,2.8962156037169926,0.004388562078444373,0.16432420763039102,0.8523611206595101,Arellano HC1 country-clustered
Model 4 - Two-way Fixed Effects,unemployment,0.8934977780496332,0.2528222540119545,3.534094660857603,5.560746841185286e-4,0.3979661601862023,1.389029395913064,Arellano HC1 country-clustered
Model 6 - Arellano-Bond Dynamic Panel,"lag(monetary_poverty, 1)",-0.044503999302728636,0.15085599168040784,-0.29500982232784934,0.7679863763326291,-0.340181742996328,0.2511737443908707,robust GMM vcovHC
Model 6 - Arellano-Bond Dynamic Panel,labor_informality,-0.005033043348619426,0.21951417499893483,-0.022928101789526114,0.9817076242980958,-0.4352808263465317,0.42521473964929285,robust GMM vcovHC
Model 6 - Arellano-Bond Dynamic Panel,social_protection_coverage,-0.014252087968972926,0.07209352265072892,-0.19768888306401583,0.8432884880942956,-0.1555553923644016,0.12705121642645575,robust GMM vcovHC
Model 6 - Arellano-Bond Dynamic Panel,log_gdp_per_capita,-35.178625791736195,10.576277007986228,-3.326182338565125,8.80443124720878e-4,-55.9081287273892,-14.44912285608319,robust GMM vcovHC
Model 6 - Arellano-Bond Dynamic Panel,gini,0.7788401695010965,0.5415301277132804,1.4382213096617642,0.15037127076129153,-0.28255888081693303,1.840239219819126,robust GMM vcovHC
Model 7 - System GMM,"lag(monetary_poverty, 1)",0.6876874442914414,0.13043375013242722,5.27231214001931,1.347157034322586e-7,0.432037294031884,0.9433375945509987,robust GMM vcovHC
Model 7 - System GMM,labor_informality,0.049122537152811674,0.0794234942672244,0.6184887432368108,0.5362532158084854,-0.10654751161094816,0.2047925859165715,robust GMM vcovHC
Model 7 - System GMM,social_protection_coverage,0.028517823867446168,NA,NA,NA,NA,NA,robust GMM vcovHC
Model 7 - System GMM,log_gdp_per_capita,-3.4090261533274315,0.9622330786395177,-3.5428278542942904,3.9586101889917575e-4,-5.295002987460887,-1.523049319193977,robust GMM vcovHC
Model 7 - System GMM,gini,0.7204702436720254,0.2654801908328756,2.713838051011399,0.006650867130665805,0.2001290696395892,1.2408114177044616,robust GMM vcovHC
Model 8 - Informality x Social Protection,labor_informality,0.21833910971725645,0.1250627802376162,1.745836045723736,0.1012816978905044,-0.026783939548471275,0.46346215898298415,country-clustered
Model 8 - Informality x Social Protection,social_protection_coverage,0.022967367573819786,0.10263618045360542,0.2237745741542059,0.825951905611815,-0.17819954611524685,0.22413428126288643,country-clustered
Model 8 - Informality x Social Protection,log_gdp_per_capita,-25.374570225898204,8.553300041487864,-2.9666409576208723,0.009602990939872345,-42.13903830721442,-8.61010214458199,country-clustered
Model 8 - Informality x Social Protection,gini,0.4960940070536659,0.19115887834188627,2.595192079786142,0.020292251484740693,0.12142260550356881,0.8707654086037631,country-clustered
Model 8 - Informality x Social Protection,unemployment,0.8687171954612484,0.2581429123422081,3.3652568167729906,0.004250211250724614,0.3627570872705205,1.3746773036519762,country-clustered
Model 8 - Informality x Social Protection,labor_informality:social_protection_coverage,-0.0018899264685494216,0.001515414616408647,-1.2471349082195888,0.23146993273719818,-0.00486013911671037,0.0010802861796115268,country-clustered
Model 9 - Regional Heterogeneity,region_lac::Caribbean:labor_informality,-0.28976750473835766,0.23858942865282431,-1.2145026976865914,0.24332994527579413,-0.7574027848978933,0.177867775421178,country-clustered
Model 9 - Regional Heterogeneity,region_lac::Central America:labor_informality,0.198318586161992,0.38331841732995975,0.5173729651275267,0.6124409084955904,-0.5529855118047291,0.949622684128713,country-clustered
Model 9 - Regional Heterogeneity,region_lac::Mercosur:labor_informality,0.04446385170148502,0.17791751805272019,0.2499127246610397,0.806045123068396,-0.30425448368184654,0.3931821870848166,country-clustered
