asset_id,asset_type,name,location,root,relative_path,top_folder,subfolder,extension,size_mb,modified,possible_role
A1064,documentation,F00017928-Latinobarometro_2023_Questionnaire_Esp (1).pdf,sources/part_ii\19_Latinobarometro\Data_base\F00017928-Latinobarometro_2023_Questionnaire_Esp (1).pdf,sources/part_ii,19_Latinobarometro/Data_base/F00017928-Latinobarometro_2023_Questionnaire_Esp (1).pdf,19_Latinobarometro,Data_base,.pdf,0.078,2026-06-14,codebook_or_metadata
A1065,documentation,F00017928-Latinobarometro_2023_Questionnaire_Esp.pdf,sources/part_ii\19_Latinobarometro\Data_base\F00017928-Latinobarometro_2023_Questionnaire_Esp.pdf,sources/part_ii,19_Latinobarometro/Data_base/F00017928-Latinobarometro_2023_Questionnaire_Esp.pdf,19_Latinobarometro,Data_base,.pdf,0.078,2026-06-14,codebook_or_metadata
A1103,script,PanelData_Latinobarometro_country-year+.R,sources/part_ii\19_Latinobarometro\PanelData_Latinobarometro_country-year+.R,sources/part_ii,19_Latinobarometro/PanelData_Latinobarometro_country-year+.R,19_Latinobarometro,PanelData_Latinobarometro_country-year+.R,.r,0.019,2026-06-18,existing_processing_script
A1104,script,PanelData_Latinobarometro_country-year.R,sources/part_ii\19_Latinobarometro\PanelData_Latinobarometro_country-year.R,sources/part_ii,19_Latinobarometro/PanelData_Latinobarometro_country-year.R,19_Latinobarometro,PanelData_Latinobarometro_country-year.R,.r,0.007,2026-06-12,existing_processing_script
A1138,script,PanelData_WDI_country-year+.R,sources/part_ii\20_WDI\PanelData_WDI_country-year+.R,sources/part_ii,20_WDI/PanelData_WDI_country-year+.R,20_WDI,PanelData_WDI_country-year+.R,.r,0.013,2026-06-18,existing_processing_script
A1147,script,PanelData_WDI_country-year.R,sources/part_ii\20_WID\PanelData_WDI_country-year.R,sources/part_ii,20_WID/PanelData_WDI_country-year.R,20_WID,PanelData_WDI_country-year.R,.r,0.007,2026-06-12,existing_processing_script
A1154,documentation,README.md,sources/part_ii\20_WID\raw_unzipped\README.md,sources/part_ii,20_WID/raw_unzipped/README.md,20_WID,raw_unzipped,.md,0.01,2026-06-19,methodological_documentation
A2000,documentation,README.md,sources/part_ii\20_WID\README.md,sources/part_ii,20_WID/README.md,20_WID,README.md,.md,0.01,2023-04-28,methodological_documentation
A2001,script,PanelData_ADB_MRIO_country-year.R,sources/part_ii\21_ADB MRIO\PanelData_ADB_MRIO_country-year.R,sources/part_ii,21_ADB MRIO/PanelData_ADB_MRIO_country-year.R,21_ADB MRIO,PanelData_ADB_MRIO_country-year.R,.r,0.012,2026-06-19,existing_processing_script
A2093,documentation,gd162.pdf,sources/part_ii\21_ADB MRIO\raw_unzipped\gd162.pdf,sources/part_ii,21_ADB MRIO/raw_unzipped/gd162.pdf,21_ADB MRIO,raw_unzipped,.pdf,1.329,2026-06-14,methodological_documentation
A2115,documentation,Journal of Economic Surveys - 2024 - Bolt - Maddison‐style estimates of the evolution of the world economy  A new 2023.pdf,sources/part_ii\21_ADB MRIO\raw_unzipped\Journal of Economic Surveys - 2024 - Bolt - Maddison‐style estimates of the evolution of the world economy  A new 2023.pdf,sources/part_ii,21_ADB MRIO/raw_unzipped/Journal of Economic Surveys - 2024 - Bolt - Maddison‐style estimates of the evolution of the world economy  A new 2023.pdf,21_ADB MRIO,raw_unzipped,.pdf,1.443,2026-06-14,methodological_documentation
A2145,documentation,Note_WIOTS_PYP.pdf,sources/part_ii\21_ADB MRIO\raw_unzipped\Note_WIOTS_PYP.pdf,sources/part_ii,21_ADB MRIO/raw_unzipped/Note_WIOTS_PYP.pdf,21_ADB MRIO,raw_unzipped,.pdf,0.503,2026-06-14,methodological_documentation
